市区町村コード,都道府県・市区町村名,総数（人）,男（人）,女（人）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
11381,美里町,11039.0,5540.0,5499.0,33.41,330.4,50.67683,53.04577,1161.0,6151.0,3727.0,10.51726,55.72063,33.76212,595.0,3259.0,1686.0,10.74007,58.82671,30.43321,566.0,2892.0,2041.0,10.29278,52.59138,37.11584,100.74559,10902.0,137.0,3854.0,3833.0,21.0,2421.0,851.0,1183.0,73.0,314.0,808.0,408.0,541.0,391.0
11383,神川町,13359.0,6755.0,6604.0,47.4,281.8,50.27768,52.84483,1358.0,7605.0,4396.0,10.16543,56.92791,32.90665,692.0,3981.0,2082.0,10.24426,58.93412,30.82161,666.0,3624.0,2314.0,10.0848,54.87583,35.03937,102.28649,12968.0,391.0,5220.0,5182.0,38.0,3055.0,1075.0,1425.0,111.0,444.0,1548.0,612.0,684.0,340.0
11385,上里町,30343.0,15012.0,15331.0,29.18,1039.9,47.59571,48.68526,3556.0,18129.0,8658.0,11.71934,59.74689,28.53376,1823.0,9233.0,3956.0,12.14362,61.50413,26.35225,1733.0,8896.0,4702.0,11.30389,58.02622,30.66988,97.91925,29203.0,1140.0,11856.0,11824.0,32.0,7174.0,2521.0,3509.0,201.0,943.0,3178.0,1153.0,1532.0,727.0
11408,寄居町,32374.0,16053.0,16321.0,64.25,503.9,50.62578,53.33482,3222.0,18231.0,10921.0,9.95243,56.31371,33.73386,1651.0,9458.0,4944.0,10.28468,58.91734,30.79798,1571.0,8773.0,5977.0,9.62564,53.75283,36.62153,98.35794,31861.0,513.0,13287.0,13239.0,48.0,7916.0,3065.0,3441.0,244.0,1166.0,3891.0,1762.0,2013.0,835.0
11442,宮代町,34147.0,17182.0,16965.0,15.95,2140.9,48.92349,49.87067,3717.0,19368.0,11062.0,10.88529,56.71948,32.39523,1897.0,10221.0,5064.0,11.04062,59.48667,29.4727,1820.0,9147.0,5998.0,10.72797,53.91689,35.35514,101.2791,33729.0,418.0,14572.0,14558.0,14.0,8800.0,3338.0,4120.0,262.0,1080.0,4622.0,1529.0,2290.0,586.0
11464,杉戸町,43845.0,21927.0,21918.0,30.03,1460.0,49.71168,51.30786,4658.0,24740.0,14447.0,10.62379,56.42605,32.95017,2412.0,12809.0,6706.0,11.00014,58.41656,30.5833,2246.0,11931.0,7741.0,10.24729,54.43471,35.318,100.04106,43296.0,549.0,17706.0,17680.0,26.0,11535.0,4336.0,5307.0,350.0,1542.0,4542.0,2023.0,2944.0,945.0
11465,松伏町,28266.0,14208.0,14058.0,16.2,1744.8,48.45815,50.20796,3069.0,16790.0,8407.0,10.85757,59.39999,29.74245,1605.0,8715.0,3888.0,11.29645,61.33868,27.36486,1464.0,8075.0,4519.0,10.414,57.4406,32.1454,101.06701,27939.0,327.0,10740.0,10728.0,12.0,7171.0,2415.0,3558.0,236.0,962.0,2452.0,1126.0,1600.0,676.0
12101,千葉市中央区,211736.0,105766.0,105970.0,44.72,4734.7,45.70506,45.8181,22282.0,138810.0,50644.0,10.52348,65.55805,23.91846,11525.0,71771.0,22470.0,10.8967,67.85829,21.24501,10757.0,67039.0,28174.0,10.15099,63.26224,26.58677,99.80749,205122.0,6614.0,109336.0,108870.0,466.0,45689.0,16140.0,22278.0,1099.0,6172.0,57085.0,9738.0,8032.0,2128.0
12102,千葉市花見川区,177328.0,87280.0,90048.0,34.19,5186.5,47.85933,48.76807,18747.0,108151.0,50430.0,10.57193,60.98924,28.43883,9615.0,55375.0,22290.0,11.01627,63.44523,25.5385,9132.0,52776.0,28140.0,10.14126,58.60874,31.25,96.92608,172599.0,4729.0,81123.0,80978.0,145.0,45825.0,16780.0,21588.0,1127.0,6330.0,30656.0,8991.0,10142.0,1879.0
12103,千葉市稲毛区,160582.0,80345.0,80237.0,21.22,7567.5,46.88319,47.78338,18670.0,98194.0,43718.0,11.62646,61.14882,27.22472,9470.0,51260.0,19615.0,11.78667,63.79986,24.41347,9200.0,46934.0,24103.0,11.46603,58.49421,30.03976,100.1346,156246.0,4336.0,74796.0,74088.0,708.0,40985.0,14737.0,20046.0,980.0,5222.0,29617.0,8168.0,8776.0,1396.0
12104,千葉市若葉区,146940.0,73000.0,73940.0,84.19,1745.3,49.27504,50.32764,15642.0,84888.0,46410.0,10.64516,57.77052,31.58432,8078.0,44274.0,20648.0,11.06575,60.64932,28.28493,7564.0,40614.0,25762.0,10.22992,54.92832,34.84176,98.7287,143125.0,3815.0,64840.0,64173.0,667.0,37174.0,13622.0,16629.0,1058.0,5865.0,22863.0,8533.0,8786.0,1952.0
12105,千葉市緑区,129421.0,63121.0,66300.0,66.25,1953.5,45.03885,46.60649,18136.0,81011.0,30274.0,14.01318,62.59494,23.39188,9289.0,40135.0,13697.0,14.71618,63.58423,21.69959,8847.0,40876.0,16577.0,13.34389,61.65309,25.00302,95.20513,127890.0,1531.0,50996.0,50834.0,162.0,34514.0,11564.0,18054.0,749.0,4147.0,13074.0,4156.0,6301.0,1685.0
12106,千葉市美浜区,148944.0,71734.0,77210.0,21.2,7025.7,47.24634,48.81903,18128.0,91009.0,39807.0,12.17102,61.10283,26.72615,9238.0,44941.0,17555.0,12.87813,62.64951,24.47236,8890.0,46068.0,22252.0,11.51405,59.66585,28.8201,92.90765,141587.0,7357.0,66891.0,66871.0,20.0,42562.0,15716.0,20558.0,900.0,5388.0,22401.0,8740.0,9213.0,728.0
12202,銚子市,58431.0,28248.0,30183.0,84.2,694.0,53.57087,57.13007,4475.0,31811.0,22145.0,7.65861,54.44199,37.8994,2255.0,16465.0,9528.0,7.98287,58.28731,33.72982,2220.0,15346.0,12617.0,7.35513,50.84319,41.80168,93.58911,56213.0,2218.0,25544.0,25505.0,39.0,12418.0,5030.0,4737.0,443.0,2208.0,9388.0,3990.0,3364.0,2207.0
12203,市川市,496676.0,251351.0,245325.0,57.45,8645.4,44.42503,44.53438,57435.0,332464.0,106777.0,11.56388,66.9378,21.49832,29402.0,174413.0,47536.0,11.69759,69.39022,18.9122,28033.0,158051.0,59241.0,11.42688,64.42515,24.14797,102.45633,478325.0,18351.0,242970.0,242637.0,333.0,121630.0,43109.0,60327.0,2847.0,15347.0,109620.0,22414.0,19349.0,4117.0
12204,船橋市,642907.0,318860.0,324047.0,85.62,7508.8,45.4423,45.95924,80768.0,405974.0,156165.0,12.56294,63.14661,24.29045,41505.0,208892.0,68463.0,13.01668,65.51214,21.47118,39263.0,197082.0,87702.0,12.11645,60.81896,27.06459,98.39931,623829.0,19078.0,289916.0,289591.0,325.0,164654.0,57773.0,82388.0,3842.0,20651.0,109326.0,29587.0,30810.0,6452.0
12205,館山市,45153.0,21846.0,23307.0,110.05,410.3,53.96522,57.8002,4258.0,22406.0,18489.0,9.43016,49.62239,40.94745,2255.0,11466.0,8125.0,10.32226,52.48558,37.19216,2003.0,10940.0,10364.0,8.59398,46.93869,44.46733,93.7315,44799.0,354.0,20272.0,20172.0,100.0,10356.0,4828.0,3648.0,280.0,1600.0,7513.0,3657.0,3320.0,1029.0
12206,木更津市,136166.0,68450.0,67716.0,138.95,980.0,46.76217,47.47176,17175.0,81063.0,37928.0,12.61328,59.53248,27.85424,8801.0,42631.0,17018.0,12.85756,62.2805,24.86194,8374.0,38432.0,20910.0,12.36635,56.75468,30.87897,101.08394,133642.0,2524.0,58387.0,58265.0,122.0,33150.0,12204.0,15597.0,905.0,4444.0,20316.0,6445.0,7152.0,2563.0
12207,松戸市,498232.0,247210.0,251022.0,61.38,8117.2,46.58578,47.35508,56967.0,311509.0,129756.0,11.43383,62.52288,26.04329,29267.0,160518.0,57425.0,11.83892,64.93184,23.22924,27700.0,150991.0,72331.0,11.03489,60.1505,28.81461,98.48141,480740.0,17492.0,231195.0,230931.0,264.0,126462.0,44536.0,61525.0,3165.0,17236.0,93029.0,27182.0,24996.0,4786.0
12208,野田市,152638.0,76195.0,76443.0,103.55,1474.1,48.48002,49.63998,17442.0,87728.0,47468.0,11.42704,57.47455,31.09842,8993.0,45757.0,21445.0,11.80261,60.0525,28.14489,8449.0,41971.0,26023.0,11.05268,54.90496,34.04236,99.67558,149148.0,3490.0,63581.0,63483.0,98.0,38565.0,14137.0,17940.0,1214.0,5274.0,19689.0,7102.0,9412.0,3008.0
12210,茂原市,86782.0,42643.0,44139.0,99.92,868.5,50.63268,52.69596,8677.0,48984.0,29121.0,9.99862,56.44488,33.5565,4449.0,24971.0,13223.0,10.43313,58.55826,31.00861,4228.0,24013.0,15898.0,9.57883,54.40314,36.01803,96.61071,85451.0,1331.0,37120.0,37011.0,109.0,21972.0,8703.0,9407.0,605.0,3257.0,11550.0,4785.0,5627.0,1914.0
12211,成田市,132906.0,66231.0,66675.0,213.84,621.5,44.58026,44.52135,16818.0,84407.0,31681.0,12.65406,63.5088,23.83715,8654.0,43161.0,14416.0,13.06639,65.16737,21.76624,8164.0,41246.0,17265.0,12.24447,61.86127,25.89426,99.33408,126920.0,5986.0,60231.0,60126.0,105.0,29545.0,10059.0,14864.0,645.0,3977.0,25887.0,5109.0,5412.0,2570.0
12212,佐倉市,168743.0,82421.0,86322.0,103.69,1627.4,49.63473,51.42764,18605.0,94870.0,55268.0,11.02564,56.22159,32.75277,9621.0,47550.0,25250.0,11.673,57.69161,30.6354,8984.0,47320.0,30018.0,10.40754,54.81801,34.77445,95.48087,165416.0,3327.0,70279.0,70131.0,148.0,46432.0,18590.0,21131.0,1158.0,5553.0,19017.0,8046.0,12587.0,2500.0
12213,東金市,58219.0,29251.0,28968.0,89.12,653.3,48.33617,50.21528,6054.0,34847.0,17318.0,10.39867,59.85503,29.7463,3081.0,18189.0,7981.0,10.53297,62.18249,27.28454,2973.0,16658.0,9337.0,10.26305,57.50483,32.23212,100.97694,56579.0,1640.0,25403.0,25355.0,48.0,13584.0,5191.0,5911.0,418.0,2064.0,9129.0,2883.0,3110.0,1494.0
12215,旭市,63745.0,31379.0,32366.0,130.45,488.7,49.19337,50.96215,7183.0,36594.0,19968.0,11.26833,57.40686,31.32481,3654.0,18941.0,8784.0,11.64473,60.36203,27.99324,3529.0,17653.0,11184.0,10.90342,54.5418,34.55478,96.9505,62349.0,1396.0,24299.0,24246.0,53.0,12254.0,4253.0,5564.0,363.0,2074.0,7382.0,2709.0,2562.0,3057.0
12216,習志野市,176197.0,87882.0,88315.0,20.97,8402.3,44.78394,45.27543,22271.0,112945.0,40981.0,12.63983,64.10155,23.25863,11370.0,58573.0,17939.0,12.9378,66.6496,20.4126,10901.0,54372.0,23042.0,12.34332,61.56599,26.0907,99.50971,171709.0,4488.0,79423.0,79267.0,156.0,45363.0,15475.0,23339.0,953.0,5596.0,30159.0,7787.0,8319.0,1578.0
12217,柏市,426468.0,210824.0,215644.0,114.74,3716.8,46.24391,46.68697,53334.0,260161.0,112973.0,12.50598,61.00364,26.49038,27179.0,133176.0,50469.0,12.8918,63.16928,23.93893,26155.0,126985.0,62504.0,12.12879,58.88641,28.98481,97.76483,416850.0,9618.0,188022.0,187782.0,240.0,110732.0,39965.0,54688.0,2462.0,13617.0,67050.0,18532.0,23453.0,4789.0
