都道府県名,都道府県・市区町村名,都道府県・市区町村名（英語）,市などの別,総数（人）,男（人）,女（人）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,面積（参考）（km2）,人口密度（人/km2）,平均年齢（歳）,年齢中位数（歳）,年齢別人口（男女「総数」）15歳未満（人）,年齢別人口（男女「総数」）15～64歳（人）,年齢別人口（男女「総数」）65歳以上（人）,人口構成比［年齢別］(男女「総数」）15歳未満（％）,人口構成比［年齢別］(男女「総数」）15～64歳（％）,人口構成比［年齢別］(男女「総数」）65歳以上（％）,年齢別人口（男）15歳未満（人）,年齢別人口（男）15～64歳（人）,年齢別人口（男）65歳以上（人）,人口構成比［年齢別］(男）15歳未満（％）,人口構成比［年齢別］(男）15～64歳（％）,人口構成比［年齢別］(男）65歳以上（％）,年齢別人口（女）15歳未満（人）,年齢別人口（女）15～64歳（人）,年齢別人口（女）65歳以上（人）,人口構成比［年齢別］(女）15歳未満（％）,人口構成比［年齢別］(女）15～64歳（％）,人口構成比［年齢別］(女）65歳以上（％）,人口性比（％）,日本人（人）,外国人（人）,総世帯（世帯）,一般世帯（世帯）,施設等の世帯（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,一般世帯（世帯）,核家族世帯（世帯）,夫婦のみの世帯（世帯）,夫婦と子供から成る世帯（世帯）,男親と子供から成る世帯（世帯）,女親と子供から成る世帯（世帯）,単独世帯（世帯）,65歳以上の単独世帯（世帯）,夫65歳以上，妻60歳以上の夫婦のみの世帯（世帯）,3世代世帯（世帯）
01_北海道,01228_深川市,Fukagawa-shi,2,20039,9362,10677,21909,-1870,-8.53531,529.42,37.9,55.31386,59.73601,1634,9854,8551,8.1541,49.17411,42.67179,853,5022,3487,9.1113,53.64238,37.24631,781,4832,5064,7.31479,45.25616,47.42905,87.68381,19929,110,9198,9161,37,9669,9161,5028,2629,1599,108,692,3438,1574,1814,324
01_北海道,01229_富良野市,Furano-shi,2,21131,9947,11184,22936,-1805,-7.86972,600.71,35.2,51.33829,53.52515,2215,11645,7271,10.48223,55.10861,34.40916,1128,5740,3079,11.3401,57.70584,30.95406,1087,5905,4192,9.71924,52.79864,37.48212,88.93956,20899,232,9538,9502,36,9929,9502,5109,2470,1933,92,614,3630,1306,1480,377
01_北海道,01230_登別市,Noboribetsu-shi,2,46391,22146,24245,49625,-3234,-6.51688,212.21,218.6,51.92687,54.59659,4775,24288,17328,10.29294,52.35498,37.35207,2480,12283,7383,11.19841,55.46374,33.33785,2295,12005,9945,9.46587,49.51536,41.01877,91.34254,46211,180,20928,20885,43,21681,20885,12520,5979,4546,301,1694,7123,3433,3906,611
01_北海道,01231_恵庭市,Eniwa-shi,2,70331,34088,36243,69702,629,0.90241,294.65,238.7,47.05395,47.99777,8704,41865,19762,12.37577,59.52567,28.09856,4478,21005,8605,13.13659,61.61992,25.24349,4226,20860,11157,11.66018,57.55594,30.78388,94.05402,69885,446,30276,30172,104,28846,30172,18394,7366,8065,432,2531,9980,3359,4260,909
01_北海道,01233_伊達市,Date-shi,2,32826,15176,17650,34995,-2169,-6.19803,444.21,73.9,52.86407,55.92541,3356,16867,12603,10.2236,51.38305,38.39335,1714,8193,5269,11.29415,53.98656,34.71929,1642,8674,7334,9.30312,49.14448,41.55241,85.983,32646,180,14844,14746,98,15054,14746,8567,4167,3026,175,1199,5327,2569,2731,383
01_北海道,01234_北広島市,Kitahiroshima-shi,2,58171,27763,30408,59064,-893,-1.51192,119.05,488.6,50.14482,52.46887,6395,32339,19437,10.99345,55.59299,33.41356,3267,15956,8540,11.76746,57.47218,30.76036,3128,16383,10897,10.28677,53.87727,35.83596,91.30163,57799,372,24640,24548,92,23551,24548,16375,7187,6715,382,2091,6964,3198,4608,582
01_北海道,01235_石狩市,Ishikari-shi,2,56869,27324,29545,57436,-567,-0.98719,722.42,78.7,49.84678,51.76168,6821,30645,19403,11.99423,53.887,34.11876,3502,15273,8549,12.81657,55.89592,31.28751,3319,15372,10854,11.23371,52.02911,36.73718,92.48265,56418,451,23102,23038,64,22632,23038,15376,6376,6600,438,1962,5868,3010,4217,960
01_北海道,01236_北斗市,Hokuto-shi,2,44302,20542,23760,46390,-2088,-4.50097,397.44,111.5,48.84459,50.57969,5444,25462,13396,12.28838,57.4737,30.23791,2808,12190,5544,13.66956,59.34184,26.98861,2636,13272,7852,11.09428,55.85859,33.04714,86.45623,44002,300,18337,18261,76,18508,18261,11338,4399,4814,313,1812,5276,2499,2534,861
01_北海道,01303_当別町,Tobetsu-cho,3,15916,7703,8213,17278,-1362,-7.88286,422.86,37.6,52.05058,55.9845,1181,9158,5577,7.42021,57.53958,35.04021,592,4622,2489,7.68532,60.0026,32.31209,589,4536,3088,7.17156,55.22951,37.59893,93.79033,15795,121,7281,7268,13,7327,7268,4138,1972,1571,114,481,2601,898,1230,271
01_北海道,01304_新篠津村,Shinshinotsu-mura,3,3044,1484,1560,3329,-285,-8.56113,78.04,39,52.09888,55.2,301,1595,1148,9.8883,52.39816,37.71353,160,855,469,10.78167,57.61456,31.60377,141,740,679,9.03846,47.4359,43.52564,95.12821,3036,8,1051,1038,13,1070,1038,566,273,221,15,57,286,139,193,121
